,Unnamed: 0.1,Unnamed: 0,true value,ses,svr,nn,rf,gpr,arima,prophet,silverkite,adarel,a2,a1
0,0,1000,0.36038961,0.973348029,0.999752636,0.972744738,0.971856955,0.981525622,0.973348035,0.0,0.0,0.99726795,,
1,1,1001,1.0,0.97270842,0.999797201,0.972646505,0.973116777,0.9783826,0.972708423,0.969629084,0.980830341,0.997016735,,
2,2,1002,1.0,0.972708416,0.999797201,0.972646466,0.972476212,0.978619172,0.972708423,0.969715857,0.98155293,0.997043613,,
3,3,1003,1.0,0.972708418,0.999797201,0.97372188,0.97495986,0.978854088,0.972708423,0.9710339,0.980768083,0.997048243,,
4,4,1004,1.0,0.973643902,0.999804993,0.973724173,0.973115949,0.976312022,0.973643907,0.97212846,0.981694167,0.997118021,,
5,5,1005,1.0,0.973643902,0.999804993,0.973724173,0.973518302,0.97638677,0.973643907,0.971236935,0.981628123,0.997143273,,
6,6,1006,1.0,0.973643902,0.999804993,0.973724173,0.973981888,0.976484485,0.973643907,0.969181419,0.980633639,0.997168653,,
7,7,1007,1.0,0.973643902,0.999804993,0.973724173,0.973464052,0.976744289,0.973643907,0.966909385,0.98113954,0.997194197,,
8,8,1008,1.0,0.973643905,0.999804993,0.973735096,0.974433577,0.97700038,0.973643907,0.964747626,0.977977176,0.997208572,,
9,9,1009,1.0,0.973695626,0.999797725,0.973605935,0.974221962,0.977057696,0.973695633,0.965450838,0.981264555,0.997343493,,
10,10,1010,1.0,0.973698693,0.999797725,0.973762454,0.97446005,0.977297052,0.973698698,0.969048508,0.980517962,0.997337919,,
11,11,1011,1.0,0.973698694,0.999797725,0.973762454,0.974060315,0.977544654,0.973698701,0.976606837,0.980020551,0.997358868,,
12,12,1012,1.0,0.973698693,0.999797725,0.973762454,0.974827735,0.977790734,0.973698701,0.984532556,0.980629153,0.997379464,,
13,13,1013,1.0,0.973698694,0.999797725,0.973762454,0.974270628,0.978033042,0.973698698,0.99147216,0.981899725,0.99739975,,
14,14,1014,1.0,0.973698693,0.999797725,0.973762454,0.974310699,0.978273377,0.973698701,0.99299003,0.981441588,0.997455578,,
15,15,1015,1.0,0.973698699,0.999797725,0.973748192,0.974098369,0.978510254,0.973698701,0.991327639,0.981678619,0.997483076,,
16,16,1016,1.0,0.973712487,0.999797725,0.973675999,0.974328587,0.978697131,0.973712494,0.986472139,0.978364424,0.997500077,,
17,17,1017,1.0,0.973712487,0.999797725,0.973675998,0.974031877,0.978930166,0.973712494,0.981764226,0.98068417,0.997519984,,
18,18,1018,1.0,0.973712489,0.999797725,0.973799727,0.973909458,0.979159133,0.973712491,0.981938242,0.979403118,0.997498117,,
19,19,1019,1.0,0.9737512,0.999792816,0.973715171,0.973893354,0.979257015,0.973751203,0.985146992,0.982325262,0.99768818,,
20,20,1020,1.0,0.973785095,0.999798039,0.973862058,0.979183945,0.979372197,0.973785102,0.991156235,0.976484794,0.997827931,,
21,21,1021,0.941176471,0.973785095,0.999792816,0.97375148,0.973920414,0.979598276,0.973785101,0.994371852,0.982249216,0.997851279,,
22,22,1022,1.0,0.973726271,0.999786763,0.973696883,0.977709077,0.979513709,0.973726279,0.995532101,0.979911421,0.997493293,,
23,23,1023,0.99047619,0.973726271,0.999785357,0.973687772,0.974319457,0.979738487,0.973726279,0.995068613,0.983372455,0.997518435,,
24,24,1024,1.0,0.973716747,0.999786302,0.973631344,0.977377313,0.979912078,0.973716755,0.992967595,0.982567146,0.997424869,,
25,25,1025,0.98630137,0.973716747,0.999784149,0.973670355,0.973637335,0.980133684,0.973716755,0.992168424,0.980042318,0.997450525,,
26,26,1026,1.0,0.973703049,0.999782412,0.973816224,0.973783004,0.980282336,0.973703056,0.9929447,0.982604319,0.9973126,,
27,27,1027,1.0,0.973703049,0.999782412,0.973816224,0.973762054,0.980500995,0.973703056,0.993715841,0.981126037,0.997339572,,
28,28,1028,1.0,0.973703049,0.999782412,0.973816224,0.974576643,0.980717598,0.973703056,0.994762275,0.983041347,0.997366185,,
29,29,1029,1.0,0.973703049,0.99978348,0.973813264,0.978360609,0.980932345,0.973703056,0.992860331,0.982704041,0.997392531,,
30,30,1030,0.99375,0.973703049,0.999782412,0.973757007,0.97324278,0.981145761,0.973703056,0.989384819,0.981165361,0.997389032,,
31,31,1031,1.0,0.973696799,0.999746565,0.973661612,0.973574762,0.981326697,0.973696806,0.984097376,0.983842484,0.997337466,,
32,32,1032,1.0,0.973726112,0.999747253,0.973661467,0.973171942,0.981537196,0.973696806,0.980062606,0.978789768,0.997357111,,
33,33,1033,0.997856377,0.97371726,0.999746565,0.973659449,0.973630153,0.981746308,0.973696803,0.978361934,0.983031538,0.997375791,,
34,34,1034,1.0,0.973694655,0.999748528,0.973764778,0.97324793,0.981943372,0.973694662,0.979380588,0.980709901,0.997394252,,
35,35,1035,1.0,0.973694655,0.999748528,0.973764778,0.973335567,0.982150185,0.973694662,0.984307842,0.979642033,0.997416369,,
36,36,1036,1.0,0.973694655,0.999748528,0.973764778,0.974192222,0.982352909,0.973694662,0.989120749,0.980992636,0.997438318,,
37,37,1037,1.0,0.973694655,0.999748528,0.973764778,0.97395704,0.982560656,0.973694662,0.99302758,0.982922409,0.997460181,,
38,38,1038,1.0,0.973694655,0.999748528,0.973764778,0.973908699,0.982762953,0.973694662,0.991472519,0.982646359,0.997482038,,
39,39,1039,1.0,0.973694655,0.999748528,0.973764778,0.97416416,0.982965654,0.973694662,0.985487659,0.983161892,0.997503968,,
40,40,1040,1.0,0.973694655,0.999748528,0.973764778,0.974828289,0.983165423,0.973694662,0.977013101,0.981162736,0.997526043,,
41,41,1041,1.0,0.973683208,0.999748528,0.973764778,0.973733326,0.983364672,0.973694662,0.97018176,0.9817679,0.997548331,,
42,42,1042,1.0,0.973694655,0.999748528,0.973764778,0.974261591,0.983563962,0.973694662,0.966508665,0.98089968,0.997570888,,
43,43,1043,1.0,0.973694657,0.999748528,0.973764778,0.973212915,0.983761929,0.973694662,0.966803636,0.982596602,0.99757849,,
44,44,1044,1.0,0.973694655,0.999748976,0.973764664,0.974693106,0.983958652,0.973694662,0.96882204,0.979492058,0.997599191,,
45,45,1045,0.998585573,0.973694655,0.999749486,0.973741542,0.974277812,0.984154679,0.973694662,0.970514599,0.98197652,0.997620053,,
46,46,1046,0.996975806,0.97369324,0.999749204,0.973726156,0.974023786,0.984343077,0.973693248,0.969196933,0.98052974,0.997625774,,
47,47,1047,1.0,0.973690216,0.999747758,0.973646857,0.973965211,0.984523074,0.973690223,0.965886348,0.981859714,0.997614998,,
48,48,1048,1.0,0.978975295,0.999747758,0.973646857,0.975198283,0.984716989,0.973690221,0.962254468,0.981423527,0.997637114,,
49,49,1049,1.0,0.979228953,0.999750601,0.973649429,0.978245591,0.984909865,0.973690221,0.960174157,0.980210238,0.997659451,,
50,50,1050,0.991071429,0.979440185,0.999747758,0.973604137,0.97366497,0.985101878,0.973690221,0.960087469,0.981117939,0.997681988,,
51,51,1051,1.0,0.979637288,0.99974596,0.973715378,0.97212543,0.985252342,0.973681295,0.960321552,0.980521579,0.99758749,,
52,52,1052,1.0,0.979813629,0.99974596,0.973715378,0.974242866,0.985442865,0.973681295,0.959835535,0.980998116,0.997608331,,
53,53,1053,1.0,0.980019656,0.99974596,0.973715378,0.973980029,0.985631744,0.973681295,0.957837353,0.980897144,0.997629511,,
54,54,1054,1.0,0.980199812,0.99974596,0.973715378,0.9738606,0.985822783,0.973681295,0.95495399,0.980569912,0.997651134,,
55,55,1055,1.0,0.98039651,0.999770048,0.97367517,0.980002127,0.986011435,0.973681295,0.950671133,0.981151512,0.997673313,,
56,56,1056,0.925233645,0.980585796,0.99974596,0.973698385,0.974031364,0.986199401,0.973681295,0.948372375,0.980411878,0.997699813,,
57,57,1057,1.0,0.973608534,0.999713519,0.97407766,0.973227046,0.986043842,0.973608541,0.948430623,0.98151499,0.99745055,,
58,58,1058,1.0,0.979694707,0.999836476,0.974452578,0.974379724,0.985167311,0.974026088,0.952202134,0.98126467,0.9974734,,
59,59,1059,1.0,0.974429442,0.999734828,0.974260065,0.973919154,0.984292339,0.974429443,0.958953278,0.981058638,0.997536956,,
60,60,1060,1.0,0.979060883,0.999734828,0.974376675,0.974069222,0.984456175,0.974439862,0.967384082,0.981326148,0.997571945,,
61,61,1061,1.0,0.974439855,0.999738892,0.974427923,0.979566059,0.98464628,0.974439862,0.973710386,0.981614812,0.99757495,,
62,62,1062,0.988235294,0.979592267,0.999734828,0.974541245,0.974483583,0.984820973,0.97444551,0.976881476,0.981609525,0.997619532,,
63,63,1063,1.0,0.979746351,0.999764951,0.974414743,0.974043013,0.984955753,0.974433747,0.975003267,0.981674193,0.997504299,,
64,64,1064,1.0,0.979963278,0.999767641,0.974498359,0.979458154,0.985144788,0.974433747,0.970898221,0.981565605,0.997536059,,
65,65,1065,0.99047619,0.980140274,0.999764951,0.974350612,0.973965254,0.985271026,0.974457003,0.967731506,0.981626414,0.997581531,,
66,66,1066,1.0,0.980284343,0.999763039,0.974436675,0.979222968,0.985413784,0.974447477,0.968352796,0.981578676,0.997507014,,
67,67,1067,0.990950226,0.980469655,0.999760397,0.974520245,0.973957851,0.985600905,0.974447477,0.973108088,0.981733922,0.997530714,,
68,68,1068,1.0,0.980613519,0.999766249,0.974315615,0.973738621,0.985745531,0.974438429,0.980528556,0.981504609,0.997440823,,
69,69,1069,1.0,0.980814888,0.999766249,0.974315639,0.974064872,0.985931344,0.974438429,0.98584227,0.981748668,0.997458495,,
70,70,1070,1.0,0.981006973,0.999766249,0.974315616,0.97351377,0.986116519,0.974438429,0.989480372,0.981625044,0.997475237,,
71,71,1071,1.0,0.981187771,0.999766249,0.974315648,0.974889868,0.986301005,0.974438429,0.989416801,0.981767312,0.997516496,,
72,72,1072,1.0,0.981348156,0.999766249,0.975716125,0.974294396,0.986484766,0.974438429,0.989830147,0.981732232,0.997545359,,
73,73,1073,1.0,0.981480472,0.999766249,0.974478099,0.973401724,0.986593538,0.974467001,0.991086803,0.98154684,0.997591501,,
74,74,1074,1.0,0.981601707,0.999766249,0.974487622,0.97411823,0.986777252,0.974467001,0.994553273,0.981778909,0.997611265,,
75,75,1075,1.0,0.981753045,0.999766249,0.974533131,0.974008334,0.986863213,0.974504037,0.998145456,0.981741506,0.997686506,,
76,76,1076,1.0,0.981936662,0.999766249,0.97453313,0.974671468,0.987044574,0.974504037,1.0,0.982120217,0.997706709,,
77,77,1077,1.0,0.982064903,0.999766249,0.97453313,0.974322255,0.987225951,0.974504037,1.0,0.98240159,0.997727124,,
78,78,1078,1.0,0.982234409,0.999766249,0.974533134,0.974600282,0.987406444,0.974504037,0.998203821,0.981963741,0.997747888,,
79,79,1079,1.0,0.982388671,0.999766249,0.974533131,0.973731036,0.987586542,0.974504037,0.996270953,0.982493437,0.99776913,,
80,80,1080,1.0,0.982531639,0.999766249,0.974533131,0.974538533,0.987766101,0.974504037,0.994424234,0.981387763,0.997790966,,
81,81,1081,1.0,0.982730395,0.999766249,0.974533134,0.97401786,0.98794516,0.974504037,0.994595772,0.982566386,0.997791279,,
82,82,1082,1.0,0.982862418,0.999766249,0.97453313,0.974836767,0.988123736,0.974504037,0.9968918,0.982047899,0.997810653,,
83,83,1083,1.0,0.974504037,0.999766249,0.975379142,0.975394045,0.988301831,0.974504037,1.0,0.981462532,0.997840292,,
84,84,1084,1.0,0.982410541,0.999733467,0.975463314,0.975936328,0.9862059,0.975452229,1.0,0.98167513,0.99787701,,
85,85,1085,1.0,0.982565206,0.999757696,0.97552477,0.982850193,0.986372455,0.975456794,1.0,0.983694949,0.997924681,,
86,86,1086,0.930434783,0.982738442,0.999733467,0.975424443,0.975084427,0.986551613,0.975456794,1.0,0.983600561,0.997943153,,
87,87,1087,1.0,0.982381019,0.999704532,0.975387271,0.975149408,0.986410468,0.975387229,1.0,0.98392964,0.997650019,,
88,88,1088,1.0,0.982528369,0.999704532,0.975387272,0.974720444,0.986588603,0.975387229,0.995012743,0.982507601,0.997671594,,
89,89,1089,1.0,0.98267511,0.999704532,0.975387271,0.975733612,0.986767061,0.975387229,0.988109882,0.983168197,0.99768565,,
90,90,1090,1.0,0.982822237,0.999704532,0.975387271,0.97507103,0.986944466,0.975387229,0.987079082,0.982122773,0.99770293,,
91,91,1091,1.0,0.983008874,0.999704532,0.975377965,0.974573079,0.987121077,0.975387229,0.988327827,0.984484755,0.997712433,,
92,92,1092,1.0,0.983079273,0.999704532,0.975442338,0.975405497,0.987138756,0.975448453,0.992862654,0.979621464,0.997795174,,
93,93,1093,1.0,0.983223239,0.999704532,0.975442338,0.974883582,0.987314883,0.975448456,0.993905761,0.983872468,0.997795092,,
94,94,1094,1.0,0.983365287,0.999704532,0.975442338,0.97472272,0.987489973,0.975448456,0.993224634,0.981575637,0.997814274,,
95,95,1095,1.0,0.983505548,0.999704532,0.975442338,0.975016549,0.987664815,0.975448454,0.989513758,0.983245627,0.997834064,,
96,96,1096,1.0,0.983640185,0.999704532,0.975442338,0.974282673,0.987838709,0.975448456,0.985554312,0.981229348,0.997851231,,
97,97,1097,1.0,0.983777316,0.999704532,0.975442338,0.975566887,0.988022438,0.975448456,0.984330027,0.978055373,0.997867675,,
98,98,1098,1.0,0.983913186,0.999704532,0.975442338,0.975539116,0.988186139,0.975448456,0.984309479,0.980362153,0.997883725,,
99,99,1099,1.0,0.984047921,0.999706365,0.975440869,0.975160971,0.988358936,0.975448453,0.983861495,0.980049822,0.997899396,,
100,100,1100,0.995515695,0.984184722,0.999704532,0.975451209,0.975119367,0.988531454,0.975448453,0.983352436,0.98210996,0.997914744,,
101,101,1101,1.0,0.984288772,0.999735649,0.975410646,0.975005378,0.98868225,0.975443972,0.980345915,0.981390676,0.997895881,,
102,102,1102,1.0,0.984419957,0.999735649,0.975410646,0.975451678,0.988854646,0.975443972,0.975670438,0.979260025,0.997915973,,
