,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Timestamp,true value,strategy1,st1,p4,a2,a3,p1
0,0,0,0,0,0,0,0,0,0,0,0,12/17/2018 19:00,1.0,0.0,0.0,,,,
1,1,1,1,1,1,1,1,1,1,1,1,12/17/2018 20:00,1.0,0.0,0.0,,,,
2,2,2,2,2,2,2,2,2,2,2,2,12/17/2018 21:00,1.0,0.0,0.0,,,,
3,3,3,3,3,3,3,3,3,3,3,3,12/17/2018 22:00,1.0,0.0,0.0,,,,
4,4,4,4,4,4,4,4,4,4,4,4,12/17/2018 23:00,1.0,0.0,0.0,,,,
5,5,5,5,5,5,5,5,5,5,5,5,12/18/2018 0:00,1.0,0.0,0.0,,,,
6,6,6,6,6,6,6,6,6,6,6,6,12/18/2018 1:00,0.281531532,0.0,0.0,,,,
7,7,7,7,7,7,7,7,7,7,7,7,12/18/2018 2:00,0.408088235,0.0,0.0,,,,
8,8,8,8,8,8,8,8,8,8,8,8,12/18/2018 3:00,0.597130243,0.0,0.0,,,,
9,9,9,9,9,9,9,9,9,9,9,9,12/18/2018 4:00,0.448979592,0.0,0.0,,,,
10,10,10,10,10,10,10,10,10,10,10,10,12/18/2018 5:00,0.281167109,0.0,0.0,,,,
11,11,11,11,11,11,11,11,11,11,11,11,12/18/2018 6:00,0.540763674,0.0,0.0,,,,
12,12,12,12,12,12,12,12,12,12,12,12,12/18/2018 7:00,0.568213783,0.0,0.0,,,,
13,13,13,13,13,13,13,13,13,13,13,13,12/18/2018 8:00,0.538071066,0.0,0.0,,,,
14,14,14,14,14,14,14,14,14,14,14,14,12/18/2018 9:00,0.409555189,0.0,0.0,,,,
15,15,15,15,15,15,15,15,15,15,15,15,12/18/2018 10:00,0.751580104,0.0,0.0,,,,
16,16,16,16,16,16,16,16,16,16,16,16,12/18/2018 11:00,0.556237219,0.0,0.0,,,,
17,17,17,17,17,17,17,17,17,17,17,17,12/18/2018 12:00,0.782201405,0.0,0.0,,,,
18,18,18,18,18,18,18,18,18,18,18,18,12/18/2018 13:00,1.0,0.0,0.0,,,,
19,19,19,19,19,19,19,19,19,19,19,19,12/18/2018 14:00,1.0,0.0,0.0,,,,
20,20,20,20,20,20,20,20,20,20,20,20,12/18/2018 15:00,1.0,0.0,0.0,,,,
21,21,21,21,21,21,21,21,21,21,21,21,12/18/2018 16:00,1.0,0.0,0.0,,,,
22,22,22,22,22,22,22,22,22,22,22,22,12/18/2018 17:00,1.0,0.0,0.0,,,,
23,23,23,23,23,23,23,23,23,23,23,23,12/18/2018 18:00,1.0,0.0,0.0,,,,
24,24,24,24,24,24,24,24,24,24,24,24,12/18/2018 19:00,1.0,0.0,0.0,,,,
25,25,25,25,25,25,25,25,25,25,25,25,12/18/2018 20:00,1.0,0.0,0.0,,,,
26,26,26,26,26,26,26,26,26,26,26,26,12/18/2018 21:00,1.0,0.0,0.0,,,,
27,27,27,27,27,27,27,27,27,27,27,27,12/18/2018 22:00,1.0,0.0,0.0,,,,
28,28,28,28,28,28,28,28,28,28,28,28,12/18/2018 23:00,1.0,0.0,0.0,,,,
29,29,29,29,29,29,29,29,29,29,29,29,12/19/2018 0:00,1.0,0.0,0.0,,,,
30,30,30,30,30,30,30,30,30,30,30,30,12/19/2018 1:00,0.529915692,0.0,0.0,,,,
31,31,31,31,31,31,31,31,31,31,31,31,12/19/2018 2:00,0.543481087,0.0,0.0,,,,
32,32,32,32,32,32,32,32,32,32,32,32,12/19/2018 3:00,0.548312883,0.0,0.0,,,,
33,33,33,33,33,33,33,33,33,33,33,33,12/19/2018 4:00,0.611650485,0.0,0.0,,,,
34,34,34,34,34,34,34,34,34,34,34,34,12/19/2018 5:00,0.560008263,0.0,0.0,,,,
35,35,35,35,35,35,35,35,35,35,35,35,12/19/2018 6:00,0.531021898,0.0,0.0,,,,
36,36,36,36,36,36,36,36,36,36,36,36,12/19/2018 7:00,0.503474078,0.0,0.0,,,,
37,37,37,37,37,37,37,37,37,37,37,37,12/19/2018 8:00,0.447398844,0.0,0.0,,,,
38,38,38,38,38,38,38,38,38,38,38,38,12/19/2018 9:00,0.59596577,0.0,0.0,,,,
39,39,39,39,39,39,39,39,39,39,39,39,12/19/2018 10:00,0.478792822,0.0,0.0,,,,
40,40,40,40,40,40,40,40,40,40,40,40,12/19/2018 11:00,0.790513834,0.0,0.0,,,,
41,41,41,41,41,41,41,41,41,41,41,41,12/19/2018 12:00,0.340720222,0.0,0.0,,,,
42,42,42,42,42,42,42,42,42,42,42,42,12/19/2018 13:00,1.0,0.0,0.0,,,,
43,43,43,43,43,43,43,43,43,43,43,43,12/19/2018 14:00,1.0,0.0,0.0,,,,
44,44,44,44,44,44,44,44,44,44,44,44,12/19/2018 15:00,1.0,0.0,0.0,,,,
45,45,45,45,45,45,45,45,45,45,45,45,12/19/2018 16:00,1.0,0.0,0.0,,,,
46,46,46,46,46,46,46,46,46,46,46,46,12/19/2018 17:00,1.0,0.0,0.0,,,,
47,47,47,47,47,47,47,47,47,47,47,47,12/19/2018 18:00,1.0,0.0,0.0,,,,
48,48,48,48,48,48,48,48,48,48,48,48,12/19/2018 19:00,1.0,0.0,0.0,,,,
49,49,49,49,49,49,49,49,49,49,49,49,12/19/2018 20:00,1.0,0.0,0.0,,,,
50,50,50,50,50,50,50,50,50,50,50,50,12/19/2018 21:00,1.0,0.0,0.0,,,,
51,51,51,51,51,51,51,51,51,51,51,51,12/19/2018 22:00,1.0,0.0,0.0,,,,
52,52,52,52,52,52,52,52,52,52,52,52,12/19/2018 23:00,1.0,0.0,0.0,,,,
53,53,53,53,53,53,53,53,53,53,53,53,12/20/2018 0:00,1.0,0.0,0.0,,,,
54,54,54,54,54,54,54,54,54,54,54,54,12/20/2018 1:00,0.652925532,0.0,0.0,,,,
55,55,55,55,55,55,55,55,55,55,55,55,12/20/2018 2:00,0.892896781,0.0,0.0,,,,
56,56,56,56,56,56,56,56,56,56,56,56,12/20/2018 3:00,0.551412873,0.0,0.0,,,,
57,57,57,57,57,57,57,57,57,57,57,57,12/20/2018 4:00,0.567283951,0.0,0.0,,,,
58,58,58,58,58,58,58,58,58,58,58,58,12/20/2018 5:00,0.578512397,0.0,0.0,,,,
59,59,59,59,59,59,59,59,59,59,59,59,12/20/2018 6:00,0.268041237,0.0,0.0,,,,
60,60,60,60,60,60,60,60,60,60,60,60,12/20/2018 7:00,0.250521921,0.0,0.0,,,,
61,61,61,61,61,61,61,61,61,61,61,61,12/20/2018 8:00,0.222222222,0.0,0.0,,,,
62,62,62,62,62,62,62,62,62,62,62,62,12/20/2018 9:00,0.637795276,0.0,0.0,,,,
63,63,63,63,63,63,63,63,63,63,63,63,12/20/2018 10:00,0.690198208,0.0,0.0,,,,
64,64,64,64,64,64,64,64,64,64,64,64,12/20/2018 11:00,0.604166667,0.0,0.0,,,,
65,65,65,65,65,65,65,65,65,65,65,65,12/20/2018 12:00,0.226519337,0.0,0.0,,,,
66,66,66,66,66,66,66,66,66,66,66,66,12/20/2018 13:00,1.0,0.0,0.0,,,,
67,67,67,67,67,67,67,67,67,67,67,67,12/20/2018 14:00,1.0,0.0,0.0,,,,
68,68,68,68,68,68,68,68,68,68,68,68,12/20/2018 15:00,1.0,0.0,0.0,,,,
69,69,69,69,69,69,69,69,69,69,69,69,12/20/2018 16:00,1.0,0.0,0.0,,,,
70,70,70,70,70,70,70,70,70,70,70,70,12/20/2018 17:00,1.0,0.0,0.0,,,,
71,71,71,71,71,71,71,71,71,71,71,71,12/20/2018 18:00,1.0,0.0,0.0,,,,
72,72,72,72,72,72,72,72,72,72,72,72,12/20/2018 19:00,1.0,0.0,0.0,,,,
73,73,73,73,73,73,73,73,73,73,73,73,12/20/2018 20:00,1.0,0.0,0.0,,,,
74,74,74,74,74,74,74,74,74,74,74,74,12/20/2018 21:00,1.0,0.0,0.0,,,,
75,75,75,75,75,75,75,75,75,75,75,75,12/20/2018 22:00,1.0,0.0,0.0,,,,
76,76,76,76,76,76,76,76,76,76,76,76,12/20/2018 23:00,1.0,0.0,0.0,,,,
77,77,77,77,77,77,77,77,77,77,77,77,12/21/2018 0:00,1.0,0.0,0.0,,,,
78,78,78,78,78,78,78,78,78,78,78,78,12/21/2018 1:00,0.443076923,0.0,0.0,,,,
79,79,79,79,79,79,79,79,79,79,79,79,12/21/2018 2:00,0.523094688,0.0,0.0,,,,
80,80,80,80,80,80,80,80,80,80,80,80,12/21/2018 3:00,0.685319767,0.0,0.0,,,,
81,81,81,81,81,81,81,81,81,81,81,81,12/21/2018 4:00,0.610208817,0.0,0.0,,,,
82,82,82,82,82,82,82,82,82,82,82,82,12/21/2018 5:00,0.431865828,0.0,0.0,,,,
83,83,83,83,83,83,83,83,83,83,83,83,12/21/2018 6:00,0.612121212,0.0,0.0,,,,
84,84,84,84,84,84,84,84,84,84,84,84,12/21/2018 7:00,0.752066116,0.0,0.0,,,,
85,85,85,85,85,85,85,85,85,85,85,85,12/21/2018 8:00,0.569506726,0.0,0.0,,,,
86,86,86,86,86,86,86,86,86,86,86,86,12/21/2018 9:00,0.51497006,0.0,0.0,,,,
87,87,87,87,87,87,87,87,87,87,87,87,12/21/2018 10:00,0.954794521,0.0,0.0,,,,
88,88,88,88,88,88,88,88,88,88,88,88,12/21/2018 11:00,0.913461538,0.0,0.0,,,,
89,89,89,89,89,89,89,89,89,89,89,89,12/21/2018 12:00,0.568,0.0,0.0,,,,
90,90,90,90,90,90,90,90,90,90,90,90,12/21/2018 13:00,1.0,0.0,0.0,,,,
91,91,91,91,91,91,91,91,91,91,91,91,12/21/2018 14:00,1.0,0.0,0.0,,,,
92,92,92,92,92,92,92,92,92,92,92,92,12/21/2018 15:00,1.0,0.0,0.0,,,,
93,93,93,93,93,93,93,93,93,93,93,93,12/21/2018 16:00,1.0,0.0,0.0,,,,
94,94,94,94,94,94,94,94,94,94,94,94,12/21/2018 17:00,1.0,0.0,0.0,,,,
95,95,95,95,95,95,95,95,95,95,95,95,12/21/2018 18:00,1.0,0.0,0.0,,,,
96,96,96,96,96,96,96,96,96,96,96,96,12/21/2018 19:00,1.0,0.0,0.0,,,,
97,97,97,97,97,97,97,97,97,97,97,97,12/21/2018 20:00,1.0,0.0,0.0,,,,
