truth_values,gaussian,adarel,sarima,svr
1,0.975790315,1,1,0.831959289
1,0.941463004,1,1,0.884101177
1,0.914050053,1,1,0.896735544
1,0.896283998,1,0.99999945,0.885568319
1,0.889714423,1,1,0.881514611
1,0.893353415,1,0.99999894,0.881513666
1,0.905273053,1,1,0.883722154
1,0.922449612,0.635564676,0.6068014,0.887066297
0.28153153,0.561673418,0.610481186,0.48745759,0
0.40808824,0.384138427,0.620581994,0.52002923,0.40425363
0.59713024,0.382312898,0.58307331,0.54108291,0.827178121
0.44897959,0.330520232,0.62294951,0.59819095,0.494089259
0.28116711,0.230450767,0.6722362,0.54845427,0.188824383
0.54076367,0.320169274,0.605274913,0.54517146,0.659041703
0.56821378,0.420516382,0.608249648,0.64277916,0.88262033
0.53807107,0.488848558,0.640349058,0.67501573,0.603002746
0.40955519,0.473405564,0.614183788,0.60274229,0.42088499
0.7515801,0.641811586,0.654454581,0.71013892,0.893678759
0.55623722,0.651778171,0.61948377,0.59595071,0.565918313
0.78220141,0.764842782,0.985382868,1,0.701652299
1,0.944409133,0.989097106,1,1
1,1,0.991911256,1,1
1,1,0.994083763,1,1
1,1,0.995816132,1,0.953450414
1,1,0.996633989,1,0.878394124
1,1,0.997393768,1,0.855901822
1,0.98569628,0.998144422,1,0.876259289
1,0.945528926,0.998529574,0.99999717,0.886391924
1,0.914533021,0.998919935,0.99999752,0.888379737
1,0.895334519,0.999257773,1,0.883986534
1,0.888228999,0.999400945,1,0.88340141
1,0.891935989,0.629683775,0.58782796,0.885047294
0.52991569,0.656668609,0.58109069,0.56724582,0.423464548
0.54348109,0.509184972,0.585819052,0.59139041,0.432251791
0.54831288,0.428977865,0.54097466,0.53466968,0.575480151
0.61165049,0.431438494,0.602566631,0.62659249,0.713879633
0.56000826,0.431599213,0.638089839,0.65608661,0.720330053
0.5310219,0.438016705,0.5759762,0.57163541,0.644534521
0.50347408,0.445244323,0.567340838,0.61205875,0.61382146
0.44739884,0.433344306,0.621160544,0.62058652,0.566209017
0.59596577,0.511824667,0.593861566,0.66020719,0.627191933
0.47879282,0.509750745,0.597482696,0.61567144,0.638598525
0.79051383,0.671655412,0.637009693,0.6707767,0.797189324
0.34072022,0.5425809,0.959337353,0.89204401,0.207948364
1,0.788570402,0.969452986,0.96923706,1
1,0.953315323,0.977061494,0.99125895,1
1,1,0.982999966,0.99748072,1
1,1,0.988013526,0.99916535,0.931191522
1,1,0.991246699,0.99980587,0.847818335
1,1,0.993181259,0.99995482,0.865592576
1,1,0.99474634,0.9999895,0.888154384
1,0.986947958,0.996114198,0.99999993,0.890312814
1,0.948855128,0.997343384,1,0.882946444
1,0.919421942,0.998327734,1,0.881200414
