truth_values,lstm,gaussian,adarel,sarima,svr,rf
0.36038961,0.413705,0.993279348,0.5,0.973440394,0.985283175,0.826688104
1,1.00041,0.900466484,0.973164689,0.972800783,0.669401142,0.973588211
1,1.00041,0.93296683,0.973164689,0.972800784,1,0.974813347
1,1.00041,0.948982593,0.973164687,0.972800784,0.928593548,0.976750073
1,1.00041,0.959589811,0.974100173,0.973736267,1,0.9747789
1,1.00041,0.966374574,0.974100171,0.973736268,0.974153041,0.97390261
1,1.00041,0.971279182,0.974100176,0.973736268,0.986282875,0.974186209
1,1.00041,0.974977527,0.974100173,0.973736268,0.981391256,0.973573358
1,1.00041,0.977854029,0.974100172,0.973736268,0.983581211,0.975099256
1,1.00041,0.980177613,0.974151894,0.973787989,0.982836785,0.972419573
1,1.00041,0.982047191,0.974154963,0.973791058,0.982803349,0.973324541
1,1.00041,0.983591178,0.974154963,0.973791058,0.982629289,0.974113234
1,1.00041,0.984884901,0.974154962,0.973791058,0.982923548,0.974261376
1,1.00041,0.985981679,0.974154962,0.973791058,0.982820104,0.973883494
1,1.00041,0.986920915,0.974154964,0.973791058,0.982851831,0.97454646
1,1.00041,0.987732215,0.974154967,0.973791058,0.982667041,0.976227443
1,1.00041,0.988446808,0.974168757,0.973804849,0.982618566,0.97546117
1,1.00041,0.989067037,0.974168755,0.973804849,0.982695088,0.974418863
1,1.00041,0.989613638,0.974168755,0.973804849,0.98267657,0.974527799
1,1.00041,0.990120841,0.974207465,0.973843562,0.982578652,0.975647585
1,1.00041,0.990576376,0.97424136,0.973877458,0.982991147,0.973578491
0.941176471,0.880813,0.990969684,0.974241365,0.973877458,0.982627959,0.989197094
1,1.00041,0.982768082,0.97418254,0.973818637,0.954237037,0.974507357
0.99047619,0.979614,0.986038081,0.97418254,0.973818637,0.994693593,0.9962698
1,1.00041,0.986414341,0.974173015,0.973809111,0.973482305,0.973064445
0.98630137,0.970681,0.988059391,0.974173018,0.973809111,0.986409251,0.999233835
1,1.00041,0.987159983,0.974159318,0.973795412,0.974692716,0.974476377
1,1.00041,0.988656836,0.974159322,0.973795412,0.986127943,0.974122142
1,1.00041,0.989635236,0.974159316,0.973795412,0.981539535,0.973883593
1,1.00041,0.990363723,0.974159318,0.973795412,0.983411273,0.975178917
0.99375,0.986697,0.990940087,0.974159319,0.973795412,0.98248014,0.991162164
1,1.00041,0.990504436,0.974153071,0.973789162,0.979687319,0.974111756
1,1.00041,0.991216178,0.974153071,0.973789162,0.984032627,0.973460218
0.997856377,0.995678,0.991714352,0.974153071,0.973789162,0.982396849,0.969513279
1,1.00041,0.991796361,0.974150922,0.973787018,0.981720676,0.973340392
1,1.00041,0.992231287,0.974150928,0.973787018,0.983306122,0.972996522
1,1.00041,0.992565268,0.978484261,0.973787018,0.98240177,0.97601752
1,1.00041,0.99284285,0.974150923,0.973787018,0.983091856,0.974162154
1,1.00041,0.99308161,0.97922101,0.973787018,0.982657005,0.975747188
1,1.00041,0.993291134,0.979502294,0.973787018,0.982696632,0.974727781
1,1.00041,0.993477484,0.979755452,0.973787018,0.982540628,0.97504681
1,1.00041,0.993644838,0.979990387,0.973787018,0.98308357,0.975065453
1,1.00041,0.993796232,0.980212013,0.973787018,0.982528326,0.975615516
1,1.00041,0.993933957,0.980423086,0.973787018,0.982548807,0.974367717
1,1.00041,0.994059782,0.980626008,0.973787018,0.982661127,0.975611412
0.998585573,0.997285,0.994175098,0.98082209,0.973787018,0.98266858,0.682954315
0.996975806,0.993743,0.994075492,0.981003044,0.973785604,0.982136559,0.970866962
1,1.00041,0.993804294,0.981168807,0.973782582,0.981700005,0.974207321
1,1.00041,0.994080415,0.981350496,0.973782581,0.983399043,0.974710729
1,1.00041,0.994259649,0.981529153,0.973782579,0.98285954,0.973531455
0.991071429,0.980896,0.994395785,0.981704073,0.973782579,0.982839146,0.983118586
1,1.00041,0.993209685,0.981818988,0.973773651,0.978116718,0.973840563
1,1.00041,0.993748366,0.981989144,0.973773651,0.984519506,0.973856182
1,1.00041,0.994048847,0.982157735,0.973773651,0.982198769,0.97516268
1,1.00041,0.99425094,0.974137559,0.973773654,0.983096763,0.974563363
1,1.00041,0.994397389,0.974137559,0.973773651,0.982793806,0.975104795
0.925233645,0.851856,0.994505963,0.974137561,0.973773651,0.982849406,0.99815334
1,1.00041,0.98366834,0.974064802,0.973700899,0.946147376,0.974953406
1,1.00041,0.98774393,0.974482349,0.974118446,0.998029271,0.975705819
1,1.00041,0.98989022,0.981543638,0.974521801,0.977124245,0.973579852
1,1.00041,0.991111747,0.974896123,0.974532218,0.985696041,0.973761215
1,1.00041,0.990961399,0.974896127,0.974532218,0.98241568,0.975555785
0.988235294,0.974805,0.992579291,0.974901773,0.97453787,0.983711313,0.98417075
1,1.00041,0.991358388,0.982130207,0.974526106,0.977214046,0.974349298
1,1.00041,0.992320575,0.974890007,0.974526106,0.985519105,0.975012616
0.99047619,0.979614,0.99293366,0.98242258,0.974549359,0.982529368,0.997782517
1,1.00041,0.991994273,0.982519445,0.974539835,0.978900474,0.973042784
0.990950226,0.980635,0.992804258,0.9826771,0.974539835,0.984990201,0.998219509
1,1.00041,0.992005696,0.982773604,0.974530785,0.978007386,0.972228891
1,1.00041,0.992823923,0.98292765,0.974530785,0.985330408,0.973782733
1,1.00041,0.993335317,0.983079732,0.974530787,0.982567754,0.976080134
1,1.00041,0.993704852,0.983230132,0.974530785,0.983707109,0.975323297
1,1.00041,0.993989626,0.974894689,0.974530785,0.98309422,0.974660377
1,1.00041,0.994234688,0.983488807,0.974559359,0.983442483,0.973869877
1,1.00041,0.99442355,0.974923262,0.974559357,0.983148996,0.974713916
1,1.00041,0.994603533,0.983732496,0.974596394,0.98350036,0.976660806
1,1.00041,0.994739632,0.983876857,0.974596394,0.983253022,0.975694582
1,1.00041,0.994855691,0.984020176,0.974596394,0.983234418,0.975457997
1,1.00041,0.9949545,0.98416257,0.974596394,0.983083724,0.97532054
1,1.00041,0.995037975,0.984304094,0.974596394,0.983224594,0.973553607
1,1.00041,0.995107193,0.984444475,0.974596394,0.983124077,0.974574002
1,1.00041,0.995162424,0.984584771,0.974596394,0.983103605,0.974380865
1,1.00041,0.995203156,0.984724363,0.974596394,0.983287171,0.975334214
1,1.00041,0.995227166,0.984863433,0.974596394,0.982715409,0.974764057
1,1.00041,0.995755989,0.984569687,0.975544588,0.984126857,0.976347111
1,1.00041,0.995819201,0.984693444,0.975549155,0.984135248,0.973769467
0.930434783,0.861144,0.995875402,0.984819089,0.975549155,0.983990319,0.998793972
1,1.00041,0.985838152,0.984466499,0.975479587,0.949744056,0.976323585
1,1.00041,0.989358056,0.984592841,0.975479587,0.998123888,0.976072415
1,1.00041,0.991133369,0.984718154,0.975479587,0.978325977,0.976871758
1,1.00041,0.992236186,0.98484274,0.975479587,0.986153258,0.976414484
1,1.00041,0.992993138,0.984966257,0.975479587,0.983111489,0.975507597
1,1.00041,0.993582398,0.985044175,0.975540814,0.984279165,0.975988879
