truth_values,adarel,svr,rf
1,1,0.998797399,0.996354675
1,1,0.998797399,0.996360137
1,1,0.998797399,0.996366629
1,0.999632703,0.998797399,0.996371642
1,1,0.998797399,0.996376675
1,1,0.998797399,0.996382369
1,1,0.998797399,0.996389799
1,0.999999998,0.998797399,0.99636547
1,1,0.998797399,0.996372039
1,1,0.998797399,0.996377093
1,0.999992233,0.998797399,0.996382596
1,0.999711836,0.998797399,0.996387902
1,1,0.998797399,0.996395052
1,1,0.998797399,0.99640006
1,1,0.998797399,0.996405911
1,1,0.998797399,0.996412105
1,0.999682876,0.998797399,0.996417911
1,1,0.998797399,0.996423732
1,1,0.998797399,0.99645853
1,1,0.998797399,0.996465554
1,1,0.998797399,0.996470875
1,1,0.998797399,0.996476866
1,1,0.998797399,0.996481999
1,1,0.998797399,0.996483343
1,1,0.998797399,0.996488813
1,1,0.998797399,0.99665968
1,1,0.998797399,0.996666104
1,1,0.998797399,0.99667125
1,1,0.998797399,0.996675988
1,1,0.998797399,0.996680983
1,1,0.998797399,0.996686418
1,1,0.998797399,0.996689879
1,0.995186674,0.998797399,0.996695464
1,1,0.998797399,0.996700128
1,1,0.998797399,0.996706245
1,1,0.998797399,0.996710823
1,0.999789511,0.998797399,0.996715451
1,1,0.998797399,0.996721771
1,1,0.998797399,0.996726901
1,1,0.998797399,0.996732121
1,1,0.998797399,0.996737538
1,1,0.998797399,0.996739406
1,1,0.998797399,0.996744788
1,1,0.998797399,0.996749818
1,1,0.998797399,0.996754426
1,1,0.998797399,0.996759726
1,1,0.998797399,0.996764598
1,1,0.998797399,0.996771032
1,1,0.998797399,0.996775488
1,1,0.998797399,0.996779726
1,1,0.998797399,0.996784323
1,1,0.998797399,0.996789436
1,1,0.998797399,0.99679542
1,1,0.998797399,0.996801796
1,1,0.998797399,0.996806315
1,1,0.998797399,0.996811372
1,1,0.998797399,0.996816758
1,1,0.998797399,0.996821988
1,1,0.998797399,0.996826241
1,1,0.998797399,0.99683068
1,1,0.998797399,0.99683336
1,1,0.998797399,0.996838153
1,1,0.998797399,0.99684201
